mysql> select song_title, count(song_title) from song, rankingposition where (rank_date between '1972-01-01' and '1972-12-31') and (song_id = rank_songid) group by song_title order by count(song_title) desc;
+--------------------------------------------------------------------------------+-------------------+
| song_title                                                                     | count(song_title) |
| Number Wonderful                                                               |                 2 |
| Take Me Bak 'Ome                                                               |                 2 |
| Thank God For You Baby                                                         |                 2 |
| Do You Want To Dance?                                                          |                 2 |
| Daytime Night-Time                                                             |                 2 |
| The Red Back Spider                                                            |                 2 |
| But I Do                                                                       |                 1 |
| I'm A Greedy Man (Part 1)                                                      |                 1 |
| Jesus Was A Capricorn                                                          |                 1 |
| I Miss You Baby                                                                |                 1 |
| Let It Be                                                                      |                 1 |
| Gypsys, Tramps & Thieves                                                       |                 1 |
| Could It Be I'm Falling In Love                                                |                 1 |
| Lay Lady Lay                                                                   |                 1 |
| Long Time To Be Alone                                                          |                 1 |
| Turn Your Radio On                                                             |                 1 |
| I Never Said Goodbye                                                           |                 1 |
| Love And Liberty                                                               |                 1 |
| Fever                                                                          |                 1 |
| My Crew                                                                        |                 1 |
| No Good To Cry                                                                 |                 1 |
| Don't Expect Me To Be Your Friend                                              |                 1 |
| You Really Got A Hold On Me                                                    |                 1 |
| Lucky Man (Re-Release)                                                         |                 1 |
| Big City Miss Ruth Ann                                                         |                 1 |
| Peaceful Easy Feeling                                                          |                 1 |
| We're Together                                                                 |                 1 |
| Songman                                                                        |                 1 |
+--------------------------------------------------------------------------------+-------------------+
679 rows in set (0.04 sec)

mysql> notee


Slippin' Into Darkness and Nice To Be With You were on the chart the longest in 1972.
